ID,innings,overs,ballnumber,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam,player,team
1304113,2,0,5,F du Plessis,Mohammed Shami,V Kohli,NA,4,0,4,0,0,NA,NA,NA,Royal Challengers Bangalore,Mohammed Shami,GT
1254107,2,0,5,KS Williamson,Mohammed Shami,WP Saha,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
1136619,1,0,5,S Dhawan,Shivam Mavi,WP Saha,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,Shivam Mavi,GT
733993,2,0,5,S Dhawan,Mohammed Shami,AJ Finch,noballs,0,1,1,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
734013,2,0,5,PA Patel,MM Sharma,CH Gayle,NA,4,0,4,0,0,NA,NA,NA,Royal Challengers Bangalore,MM Sharma,GT
733981,2,0,5,BB McCullum,Mohammed Shami,DR Smith,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,Mohammed Shami,GT
598070,2,0,5,AP Tare,MM Sharma,DR Smith,NA,0,0,0,0,0,NA,NA,NA,Mumbai Indians,MM Sharma,GT
1136578,2,0,5,CH Gayle,Shivam Mavi,KL Rahul,NA,0,0,0,0,0,NA,NA,NA,Kings XI Punjab,Shivam Mavi,GT
1304062,1,0,5,MA Agarwal,Mohammed Shami,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Punjab Kings,Mohammed Shami,GT
1254077,4,0,5,RR Pant,Rashid Khan,S Dhawan,legbyes,0,1,1,0,0,NA,NA,NA,Delhi Capitals,Rashid Khan,GT
1082630,1,0,5,DA Warner,J Yadav,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
598051,2,0,5,PA Patel,MM Sharma,S Dhawan,NA,0,0,0,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
1082611,1,0,5,DA Warner,J Yadav,S Dhawan,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
598030,1,0,5,GH Vihari,MM Sharma,S Dhawan,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
1254082,2,0,5,PP Shaw,Shivam Mavi,S Dhawan,NA,4,0,4,0,0,NA,NA,NA,Delhi Capitals,Shivam Mavi,GT
829793,1,0,5,DA Warner,J Yadav,S Dhawan,NA,4,0,4,0,0,NA,NA,NA,Sunrisers Hyderabad,J Yadav,GT
734029,2,0,5,DA Warner,MM Sharma,S Dhawan,NA,4,0,4,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
598058,2,0,5,R Dravid,MM Sharma,AM Rahane,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,MM Sharma,GT
980965,2,0,5,UT Khawaja,J Yadav,AM Rahane,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiants,J Yadav,GT
598026,1,0,5,SR Watson,MM Sharma,AM Rahane,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,MM Sharma,GT
1254071,2,0,5,JM Bairstow,Mohammed Shami,DA Warner,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,Mohammed Shami,GT
829773,1,0,5,S Dhawan,MM Sharma,DA Warner,NA,1,0,1,0,0,NA,NA,NA,Sunrisers Hyderabad,MM Sharma,GT
