ID,innings,overs,ballnumber,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam,player,team
1178411,2,0,1,AM Rahane,HH Pandya,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829721,2,0,1,AM Rahane,R Vinay Kumar,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829715,2,0,1,AM Rahane,JD Unadkat,SV Samson,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829709,1,0,1,AM Rahane,Sandeep Sharma,SV Samson,legbyes,0,4,4,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
829727,2,0,1,AM Rahane,B Kumar,SV Samson,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1216507,2,0,1,BA Stokes,Sandeep Sharma,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,BA Stokes,CSK
1178402,2,0,1,AM Rahane,JP Behrendorff,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178400,1,0,1,AM Rahane,DL Chahar,JC Buttler,legbyes,0,1,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1178396,1,0,1,AM Rahane,PP Chawla,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1175367,2,0,1,AM Rahane,DL Chahar,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1175363,1,0,1,AM Rahane,B Kumar,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1175359,2,0,1,AM Rahane,SM Curran,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1175369,2,0,1,AM Rahane,UT Yadav,JC Buttler,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1136600,1,0,1,AM Rahane,MP Stoinis,JC Buttler,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1216543,2,0,1,BA Stokes,K Rabada,JC Buttler,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals,BA Stokes,CSK
1082599,2,0,1,AM Rahane,S Nadeem,MA Agarwal,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082594,1,0,1,AM Rahane,Sandeep Sharma,MA Agarwal,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082592,2,0,1,AM Rahane,TG Southee,MA Agarwal,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1304084,2,0,1,RD Gaikwad,K Rabada,RV Uthappa,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304079,2,0,1,RD Gaikwad,DR Sams,RV Uthappa,NA,0,0,0,0,1,RD Gaikwad,caught,Tilak Varma,Chennai Super Kings,RD Gaikwad,CSK
1304075,1,0,1,RD Gaikwad,Mohammed Shami,RV Uthappa,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1304068,1,0,1,RD Gaikwad,Mohammed Siraj,RV Uthappa,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings,RD Gaikwad,CSK
1216533,2,0,1,BA Stokes,DL Chahar,RV Uthappa,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,BA Stokes,CSK
980989,1,0,1,AM Rahane,AD Russell,UT Khawaja,legbyes,0,1,1,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980979,2,0,1,AM Rahane,B Kumar,UT Khawaja,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980969,1,0,1,AM Rahane,STR Binny,UT Khawaja,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980965,2,0,1,AM Rahane,J Yadav,UT Khawaja,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
981005,2,0,1,AM Rahane,Sandeep Sharma,UT Khawaja,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
980997,2,0,1,AM Rahane,Z Khan,UT Khawaja,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiants,AM Rahane,CSK
1136588,2,0,1,AM Rahane,Sandeep Sharma,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1136581,2,0,1,AM Rahane,MJ McClenaghan,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
1082650,2,0,1,AM Rahane,KH Pandya,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082647,1,0,1,AM Rahane,MJ McClenaghan,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082645,2,0,1,AM Rahane,Sandeep Sharma,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082642,2,0,1,AM Rahane,Z Khan,RA Tripathi,NA,0,0,0,0,1,AM Rahane,bowled,NA,Rising Pune Supergiant,AM Rahane,CSK
1082634,1,0,1,AM Rahane,B Kumar,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082631,2,0,1,AM Rahane,NM Coulter-Nile,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082629,2,0,1,AM Rahane,PJ Sangwan,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082624,1,0,1,AM Rahane,AF Milne,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082620,1,0,1,AM Rahane,UT Yadav,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082615,2,0,1,AM Rahane,B Kumar,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082607,1,0,1,AM Rahane,AF Milne,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082603,1,0,1,AM Rahane,P Kumar,RA Tripathi,NA,0,0,0,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1082618,1,0,1,AM Rahane,MG Johnson,RA Tripathi,NA,1,0,1,0,0,NA,NA,NA,Rising Pune Supergiant,AM Rahane,CSK
1136618,2,0,1,AM Rahane,AD Russell,RA Tripathi,NA,2,0,2,0,0,NA,NA,NA,Rajasthan Royals,AM Rahane,CSK
